30	39	28
26	38	24
26	39	24
30	44	22
30	40	27
35	42	26
35	41	25
34	41	24
32	40	25
27	47	26
28	44	25
24	44	24
24	47	26
28	46	26
36	48	24
46	46	28
181	46	30
24	47	23
24	45	29
31	45	29
27	50	33
25	42	29
26	41	29
25	42	31
25	41	35
26	46	33
26	37	34
26	34	34
24	33	32
27	30	24
34	33	24
27	39	24
25	36	29
25	31	33
29	32	31
35	32	27
26	36	28
28	38	28
25	35	30
27	37	28
23	34	25
23	32	25
23	31	29
27	34	28
33	36	24
38	41	25
42	41	24
39	50	26
34	43	21
29	48	30
30	45	32
34	48	30
30	39	35
25	36	30
28	33	30
28	28	34
28	32	37
31	37	35
40	41	31
36	44	35
37	47	30
39	43	38
41	45	40
41	48	46
39	47	27
41	47	23
48	43	32
41	41	35
43	40	37
44	41	42
34	34	39
32	25	37
37	29	40
38	26	46
50	26	46
47	31	44
43	30	33
38	32	28
43	28	28
45	33	30
44	46	34
38	47	29
36	43	31
41	33	33
37	34	30
32	34	28
36	34	30
26	32	30
29	31	34
30	29	34
29	33	27
26	35	26
31	36	26
29	38	24
29	45	25
26	45	24
25	41	28
25	42	25
26	43	23
28	40	24
35	36	25
34	33	24
35	30	25
34	30	26
33	41	23
37	42	25
32	42	24
33	44	25
27	38	25
28	36	26
26	35	24
26	38	26
25	38	24
27	38	24
24	38	24
23	39	24
27	41	26
25	45	24
23	46	24
25	48	24
27	46	24
32	42	25
29	34	24
32	32	24
31	42	27
28	38	25
30	36	23
32	34	23
31	32	22
30	34	24
28	28	28
31	30	24
32	30	25
41	29	26
41	32	29
39	34	37
40	37	33
40	34	37
51	40	39
40	38	38
41	40	41
38	40	32
36	36	36
36	34	36
32	30	35
29	33	38
37	35	43
36	40	45
31	40	39
37	43	38
35	44	31
39	34	25
42	34	27
43	33	32
47	34	28
34	35	28
31	35	24
101	34	23
48	35	29
48	43	26
44	45	26
46	42	29
38	46	28
39	47	34
42	46	29
37	43	27
42	43	25
38	45	29
42	43	37
42	34	39
44	31	36
38	31	37
39	28	34
42	30	35
44	31	37
41	37	43
47	32	43
41	32	38
45	41	43
45	32	36
40	27	32
35	30	32
30	30	49
29	35	34
26	37	28
27	39	32
26	39	34
27	41	28
28	37	28
28	41	33
32	46	94
32	42	29
28	35	32
31	30	25
35	35	24
37	29	25
43	34	26
36	33	32
34	30	31
32	28	29
34	29	25
41	31	27
41	31	27
38	31	27
35	35	25
39	30	25
34	33	22
37	32	23
34	27	25
36	25	32
36	25	24
37	25	26
34	29	32
31	26	26
34	25	27
38	30	30
36	25	35
34	27	34
34	23	29
33	24	29
25	24	26
30	24	27
39	26	29
33	25	27
35	30	32
39	28	29
44	32	29
46	35	29
47	33	38
38	35	32
32	32	34
27	28	33
26	27	27
27	36	28
27	34	27
29	41	38
28	34	40
27	29	36
27	33	42
25	36	36
24	36	39
26	32	47
27	32	44
25	38	40
35	35	72
47	36	38
44	36	37
47	29	31
45	25	30
35	36	36
29	31	35
30	35	40
34	28	42
29	29	36
38	28	28
44	33	31
43	38	26
43	38	32
45	41	32
40	38	33
34	37	38
40	39	32
42	43	35
45	37	33
47	42	33
38	39	36
64	34	32
47	34	28
31	32	32
33	29	31
36	37	37
42	31	27
45	31	35
46	29	38
38	28	44
37	32	34
43	34	40
39	35	42
33	36	43
33	44	44
26	42	44
29	42	38
23	38	31
24	40	34
23	42	37
28	43	38
23	37	41
26	38	43
27	42	40
29	32	35
32	30	34
24	32	32
25	34	27
26	34	30
28	30	33
26	37	34
25	38	29
24	40	27
25	35	28
24	31	33
